"id";"FECHA";"DESDE";"HASTA";"LOCALIDAD";"GRUPO";"DIRECCION";"FARMACIA";"Cod_FARMACIA";"TELEFONO"
"216";"02/12/2023";"9";"9";"Milagro";"Valtierra-Cadreita - Castejón";"C/ Arrabal, 28bajo";"Hernandez Ramiro, Carlos";"F00023";"948 861066"
"217";"02/12/2023";"9";"9";"Miranda de Arga";"Artajona";"C/ La Dehesa, 9";"Elizalde Sesma, Alejandra";"F00675";"948 926094"
"218";"02/12/2023";"9";"9";"Olite / Erriberri";"Carcastillo - Olite";"Pl Del Fosal, 1";"Pellejero Balduz, Maria Jose";"F00433";"948 741830"
"219";"02/12/2023";"9";"9";"San Adrián";"San Adrián";"C/ Santa Gema, 30";"Moreno Sola, Beatriz";"F00533";"948 670111"
"220";"02/12/2023";"9";"9";"Sangüesa / Zangoza";"Sangüesa";"C/ Mayor, 30";"Ruiz Sanchez, Tomas";"F00101";"948 870114"
"221";"02/12/2023";"9";"9";"Sansol";"Los Arcos - Viana";"C/ Barrionuevo, 2";"Elias Calvo, Ignacio Javier";"F00817";"948648328"
"222";"02/12/2023";"9";"9";"Tafalla";"Tafalla";"C/ Camino Miranda, 8";"Tesan Urchaga, Jose Luis";"F00463";"948 755094"
"223";"03/12/2023";"10";"21";"Artica / Artika";"Pamplona y comarca";"C/ Madres de la Plaza de Mayo, 32. Nuevo Artica";"Aguado Menendez, Carmen";"F00739";"948 307609"
"224";"03/12/2023";"9";"21";"Estella-Lizarra";"Estella";"C/ Espoz y Mina, 1. Barrio de San Miguel";"Torres Echeverria, Maria Jose";"F00393";"948 546284"
"225";"03/12/2023";"9";"22";"Ezcároz / Ezkaroze";"Isaba - Salazar";"C/ Rochapea, 2";"Vicente Collado, Maria Jose";"F00287";"948 890395"
"226";"03/12/2023";"10";"21";"Huarte / Uharte";"Pamplona y comarca";"C/ Leandro Azcárate, 7. Esq. Avda. Ugarrandía";"Ilundain Erice, Esperanza";"F00600";"948 360860"
"227";"03/12/2023";"10";"21";"Olague";"Pamplona y comarca";"C/ San Juan, 7. Localización por Tfno. 948226000";"Marcotegui Goñi, Cristina";"F00278";"948 307068"
"228";"03/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Pº Santa Lucía, 26. Buztintxuri";"Fabo Sangüesa, Estela";"F00665";"948 149215"
"229";"03/12/2023";"10";"21";"Pamplona / Iruña";"Pamplona y comarca";"Avda Sancho el Fuerte, 31";"Gimeno Oses, Maria Pilar";"F00502";"948 198003"
