"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"Especialidad";"FECHA DE INSCRIPCION"
"117";"UR000604";"Borrasco";"Restaurantes";"Segunda/2 Tenedores";"Abadejo 2";"LERÍN";"LERÍN";"La Ribera";"Casera o regional";"22/05/1991 0:00:00"
"118";"UR000922";"Bruselas Kairos";"Restaurantes";"Sin definir";"Yanguas y Miranda 17";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"01/06/2007 0:00:00"
"119";"ur000266";"Burgalés";"Restaurantes";"Sin definir";"de Navarra 2";"MILAGRO";"MILAGRO";"La Ribera";;"14/10/1981 0:00:00"
"120";"UR000065";"Burger King";"Restaurantes";"Sin definir";"Sancho el Fuerte 83";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"27/06/2001 0:00:00"
"121";"UR000997";"Burger King";"Restaurantes";"Sin definir";"Galaria-CC.La Morea A-10 0";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Rápida";"13/08/2010 0:00:00"
"122";"UR000998";"Burger King";"Restaurantes";"Sin definir";"C.C. Itaroa Local A-17 0";"HUARTE";"HUARTE / UHARTE";"Cuenca de Pamplona";"Rápida";"10/09/2010 0:00:00"
"123";"UR001024";"Burger King";"Restaurantes";"Sin definir";"Agustinos 0 C/ A parc.1600";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"24/02/2012 0:00:00"
"124";"UR131049";"Burger King";"Restaurantes";"Sin definir";"Mercaderes 17";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"27/12/2013 0:00:00"
"125";"UR000256";"Burger King Tudela";"Restaurantes";"Sin definir";"Parque Comercial La Barrena, c 0 S/N";"TUDELA";"TUDELA";"La Ribera";"Rápida";"19/01/2005 0:00:00"
"126";"UR001114";"Burgerheim";"Restaurantes";"Segunda/2 Tenedores";"Amaya 2 B Bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador, Internacional, Rápida";"12/05/2016 0:00:00"
"127";"UR000337";"Burlada";"Restaurantes";"Sin definir";"Mayor 0 S/N";"ARANTZA";"ARANTZA";"Pirineos";"Casera o regional";"08/08/1982 0:00:00"
"128";"UR000060";"Café con sal";"Restaurantes";"Tercera/1 tenedor";"Juan de Labrit 29";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador, Casera o regional, De tapas y raciones";"13/06/2001 0:00:00"
"129";"ur000868";"Cafe Iruña";"Restaurantes";"Sin definir";"del Castillo 44";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"13/09/2000 0:00:00"
"130";"UR001017";"Café Niza";"Restaurantes";"Segunda/2 Tenedores";"Duque de Ahumada 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"28/11/2011 0:00:00"
"131";"UR001120";"Café Sabina";"Restaurantes";"Tercera/1 tenedor";"C.C. Itaroa C/ Intxaurdia 5 local 32";"HUARTE";"HUARTE / UHARTE";"Cuenca de Pamplona";"Casera o regional, De tapas y raciones";"17/10/2016 0:00:00"
"132";"UR000792";"Cafestore";"Restaurantes";"Sin definir";"Autopista AP-15 Km. 14 0";"VALTIERRA";"VALTIERRA";"La Ribera";"Casera o regional";"21/04/1997 0:00:00"
"133";"ur000172";"Caldero";"Restaurantes";"Sin definir";"Mutilva Baja, nave 1 0 ";"MUTILVA";"ARANGUREN";"Cuenca de Pamplona";"Casera o regional";"26/07/2004 0:00:00"
"134";"UR000099";"Camino del Perdón";"Restaurantes";"Sin definir";"Mayor 61";"UTERGA";"UTERGA";"Zona Media";"Casera o regional";"30/04/2003 0:00:00"
"135";"UR000190";"Caracho";"Restaurantes";"Tercera/1 tenedor";"Industrial 0 S/N";"CORELLA";"CORELLA";"La Ribera";;"03/09/2004 0:00:00"
"136";"UR000971";"Carranza";"Restaurantes";"Sin definir";"San Juan 1";"MIRANDA DE ARGA";"MIRANDA DE ARGA";"Zona Media";"Casera o regional";"17/03/2009 0:00:00"
"137";"ur000613";"Casa Albero";"Restaurantes";"Sin definir";"Zolina 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"23/09/1990 0:00:00"
"138";"UR000801";"Casa Armendariz";"Restaurantes";"Primera/3 tenedores";"Navarro Villoslada 19";"VIANA";"VIANA";"Zona Media";"Sidrería";"24/12/1997 0:00:00"
"139";"UR001149";"Casa Carmen";"Restaurantes";"Segunda/2 Tenedores";"Rua 33";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional, De tapas y raciones, Vegetariana";"04/05/2023 0:00:00"
"140";"ur000167";"Casa Domingo";"Restaurantes";"Sin definir";"Zaragoza, km. 5 8 ";"CAPARROSO";"CAPARROSO";"La Ribera";;"14/10/1981 0:00:00"
"141";"ur000425";"Casa Evaristo";"Restaurantes";"Sin definir";"Estafeta 69";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"21/08/1985 0:00:00"
"142";"UR000865";"Casa Faustina";"Restaurantes";"Sin definir";"Magdalena 58";"BARÍNDANO";"AMÉSCOA BAJA";"Pirineos";"Casera o regional";"06/09/2000 0:00:00"
"143";"UR000520";"Casa Jacinto";"Restaurantes";"Segunda/2 Tenedores";"Polígono Mugazuri, C-11 0 ";"BURLADA";"BURLADA / BURLATA";"Cuenca de Pamplona";"Casera o regional";"22/02/1989 0:00:00"
"144";"ur000866";"Casa Lucas";"Restaurantes";"Sin definir";"Polígono Mocholi, Edificio CEI 0 ";"NOÁIN";"NOÁIN (VALLE DE ELORZ) / NOAIN (ELORTZIBAR)";"Cuenca de Pamplona";"Casera o regional";"05/09/2005 0:00:00"
"145";"ur000441";"Casa Luis";"Restaurantes";"Sin definir";"Padre Calatayud 11";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"05/01/1986 0:00:00"
"146";"UR000009";"Casa Manolo";"Restaurantes";"Sin definir";"García Castañón 12";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"26/04/1967 0:00:00"
"147";"UR00024";"Casa Otano";"Restaurantes";"Primera/3 tenedores";"San Nicolás 5";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador";"20/01/1966 0:00:00"
"148";"UR001033";"Casa Otsoa";"Restaurantes";"Sin definir";"Mayor 20";"EZCÁROZ";"EZCÁROZ / EZKAROZE";"Pirineos";"Casera o regional";"13/11/2012 0:00:00"
"149";"UR000871";"Casa Perico";"Restaurantes";"Segunda/2 Tenedores";"Berbinzana 12";"LARRAGA";"LARRAGA";"Zona Media";"Casera o regional";"14/09/2005 0:00:00"
"150";"UR001103";"Casa Sabina";"Restaurantes";"Segunda/2 Tenedores";"Única s/n 0";"ORREAGA/RONCESVALLES";"ORREGA / RONCESVALLES";"Pirineos";"Casera o regional";"02/10/2015 0:00:00"
"151";"ur000226";"Casa Santamaría";"Restaurantes";"Sin definir";"Mayor 28";"DONEZTEBE/SANTESTEBAN";"DONEZTEBE / SANTESTEBAN";"Pirineos";;"15/03/1982 0:00:00"
