"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"Especialidad";"FECHA DE INSCRIPCION"
"333";"ur000559";"La Oficina";"Restaurantes";"Sin definir";"Poligono Industrial, c/n 0 ";"MUTILVA";"ARANGUREN";"Cuenca de Pamplona";"Casera o regional";"14/02/1990 0:00:00"
"334";"UR000525";"La Olla";"Restaurantes";"Sin definir";"Roncesvalles 2";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"30/01/1989 0:00:00"
"335";"ur000320";"La Oreja";"Restaurantes";"Sin definir";"Jarauta 19";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"16/10/1981 0:00:00"
"336";"ur000495";"La Peña";"Restaurantes";"Sin definir";"Tubal 14";"TAFALLA";"TAFALLA";"Zona Media";"Asador";"08/01/2001 0:00:00"
"337";"UR000095";"La Plaza";"Restaurantes";"Sin definir";"Mayor 52";"PUENTE LA REINA";"PUENTE LA REINA / GARES";"Zona Media";"Casera o regional";"13/02/2002 0:00:00"
"338";"ur000139";"La Plaza";"Restaurantes";"Sin definir";"Travesía Tafalla 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"04/06/2004 0:00:00"
"339";"ur000314";"La Posada";"Restaurantes";"Sin definir";"San Andrés 0 S/N";"SORAUREN";"EZCABARTE";"Cuenca de Pamplona";"Asador";"23/01/1981 0:00:00"
"340";"UR000930";"La Posada";"Restaurantes";"Sin definir";"San Pedro 27";"LARRAINTZAR";"ULTZAMA";"Pirineos";"Casera o regional";"30/10/2007 0:00:00"
"341";"UR001134";"La Posada de la Rubia";"Restaurantes";"Tercera/1 tenedor";"Caldereros 5 Bajo";"TUDELA";"TUDELA";"La Ribera";"Casera o regional";"10/03/2021 0:00:00"
"342";"UR131048";"La Ribera";"Restaurantes";"Tercera/1 tenedor";"La Ribera 15";"CINTRUÉNIGO";"CINTRUÉNIGO";"La Ribera";"Casera o regional";"05/02/2014 0:00:00"
"343";"UR000513";"La Runa";"Restaurantes";"Sin definir";"Errotazar 26";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Sidrería";"12/05/2005 0:00:00"
"344";"UR001037";"La Sangiovesa";"Restaurantes";"Segunda/2 Tenedores";"García Castañón 6 bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Italiano";"08/03/2013 0:00:00"
"345";"UR000538";"La Servicial Vinicola";"Restaurantes";"Sin definir";"Navarro Villoslada 11";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"25/02/1989 0:00:00"
"346";"UR001025";"La Tagliatella";"Restaurantes";"Segunda/2 Tenedores";"del Castillo 37";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"02/04/2012 0:00:00"
"347";"UR131039";"La Tagliatella";"Restaurantes";"Sin definir";"Centro comercial La Morea 0";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Italiano";"30/04/2013 0:00:00"
"348";"UR001115";"La Tasca De Don José";"Restaurantes";"Tercera/1 tenedor";"C.C. Itaroa local A20-A21-A22 0";"HUARTE";"HUARTE / UHARTE";"Cuenca de Pamplona";"Casera o regional, De tapas y raciones";"29/06/2016 0:00:00"
"349";"UR001119";"La Tasca de Don José";"Restaurantes";"Tercera/1 tenedor";"C.C. Galaria 0 local A4-A5";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Casera o regional, De tapas y raciones";"17/10/2016 0:00:00"
"350";"UR000138";"La Taula";"Restaurantes";"Tercera/1 tenedor";"Parque de los Enamorados, 18-1 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"04/06/2004 0:00:00"
"351";"UR0001081";"La Torreta";"Restaurantes";"Tercera/1 tenedor";"Mayor 64";"PUENTE LA REINA";"PUENTE LA REINA / GARES";"Zona Media";;"09/04/2015 0:00:00"
"352";"UR000952";"La trastienda del colmado";"Restaurantes";"Sin definir";"Iturralde y Suit 24 bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Innovadora";"20/06/2008 0:00:00"
"353";"ur000788";"La Trattoria";"Restaurantes";"Sin definir";"Pío XII 24";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"05/02/1997 0:00:00"
"354";"UR001082";"La Veranda";"Restaurantes";"Primera/3 tenedores";"Egüés 78";"GORRÁIZ";"VALLE DE EGÜÉS / EGUESIBAR";"Cuenca de Pamplona";"Casera o regional";"05/03/2015 0:00:00"
"355";"ur000590";"La Vieja Iruña";"Restaurantes";"Sin definir";"San Nicolás 40 bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, De autor, De tapas y raciones";"21/01/1990 0:00:00"
"356";"UR000283";"La Villa";"Restaurantes";"Tercera/1 tenedor";"Mayor 14";"IGANTZI";"IGANTZI";"Pirineos";"Casera o regional";"22/07/1981 0:00:00"
"357";"UR000030";"La Viña";"Restaurantes";"Sin definir";"Jarauta 8";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"25/06/1968 0:00:00"
"358";"UR000508";"Landaben";"Restaurantes";"Segunda/2 Tenedores";"Políg. Industrial Landaben, ca 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"10/05/1989 0:00:00"
"359";"UR000156";"Lapitxuri";"Restaurantes";"Sin definir";"Dantxarinea, Venta Lapitxuri 0 ";"URDAZUBI/URDAX";"URDAZUBI / URDAX";"Pirineos";"Casera o regional";"18/06/2004 0:00:00"
"360";"UR000931";"Larraisko";"Restaurantes";"Tercera/1 tenedor";"Berrioplano 4";"ANSOAIN";"ANSOÁIN / ANTSOAIN";"Cuenca de Pamplona";"Casera o regional";"22/11/2007 0:00:00"
"361";"UR000135";"Le Mans";"Restaurantes";"Sin definir";"Monasterio de Urdax 0 S/N";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"25/06/2004 0:00:00"
"362";"UR001104";"Leku Ona";"Restaurantes";"Tercera/1 tenedor";"Martín Sasti s/n 0";"ALTSASU/ALSASUA";"ALTSASU / ALSASUA";"Pirineos";"Casera o regional";"05/11/2015 0:00:00"
"363";"ur000738";"Level-10";"Restaurantes";"Sin definir";"Padre Adoain 223";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Rápida";"26/12/1995 0:00:00"
"364";"UR001064";"Lizarra";"Restaurantes";"Segunda/2 Tenedores";"Ordoiz, s/n 0 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"07/11/2014 0:00:00"
"365";"UR000191";"Lizuniaga";"Restaurantes";"Sin definir";"Collado de Lizuniaga 0";"BERA";"BERA";"Pirineos";;"14/10/1981 0:00:00"
"366";"UR001072";"Loizu";"Restaurantes";"Segunda/2 Tenedores";"0";"AURITZ/BURGUETE";"AURITZ / BURGUETE";;"Casera o regional";"02/12/2014 0:00:00"
"367";"UR000173";"Lorentxo";"Restaurantes";"Segunda/2 Tenedores";"Ctra Irún N-121, KM 11 0 ";"OLAVE";"OLÁIBAR";"Cuenca de Pamplona";"Casera o regional";"26/07/2004 0:00:00"
"368";"ur000494";"Los Alfares";"Restaurantes";"Sin definir";"Avenida Sancho el Fuerte 32";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"06/02/1989 0:00:00"
"369";"ur000547";"Los Gemelos";"Restaurantes";"Sin definir";"Hermanos Noain 30";"ANSOAIN";"ANSOÁIN / ANTSOAIN";"Cuenca de Pamplona";"Casera o regional";"01/03/1991 0:00:00"
"370";"UR000948";"Lugarana";"Restaurantes";"Sin definir";"Dantxarinea 0";"URDAZUBI/URDAX";"URDAZUBI / URDAX";"Pirineos";"Casera o regional";"14/05/2008 0:00:00"
"371";"UR001021";"Maher";"Restaurantes";"Sin definir";"Ribera 19";"CINTRUÉNIGO";"CINTRUÉNIGO";"La Ribera";"De autor";"22/12/2011 0:00:00"
"372";"ur000027";"Maica";"Restaurantes";"Sin definir";"Sancho VI el Sabio 1";"VILLAVA";"VILLAVA / ATARRABIA";"Cuenca de Pamplona";"Casera o regional";"20/12/2000 0:00:00"
"373";"UR000730";"Manolete";"Restaurantes";"Sin definir";"Mayor 12";"MURCHANTE";"MURCHANTE";"La Ribera";"Casera o regional";"28/12/1995 0:00:00"
"374";"ur000374";"Manolo";"Restaurantes";"Sin definir";"Santa Engracia 7";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"19/03/1984 0:00:00"
"375";"UR000269";"Mavi";"Restaurantes";"Sin definir";"La Serna 2";"LOS ARCOS";"LOS ARCOS";"Zona Media";"Casera o regional";"22/07/1981 0:00:00"
"376";"ur000856";"Mc Donalds";"Restaurantes";"Sin definir";"Parque Comercial ""Galaria"" 0 ";"CORDOVILLA";"GALAR";"Cuenca de Pamplona";"Rápida";"30/08/2000 0:00:00"
"377";"UR111016";"Mc Donalds Artica";"Restaurantes";"Tercera/1 tenedor";"Lantzeluze 39";"ARTICA";"BERRIOPLANO / BERRIOBEITI";"Cuenca de Pamplona";"Rápida";"28/11/2011 0:00:00"
"378";"UR000057";"Mei Mei";"Restaurantes";"Segunda/2 Tenedores";"Yanguas y Miranda 21";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"13/06/2001 0:00:00"
"379";"UR000892";"Melbourne";"Restaurantes";"Sin definir";"Olite 36";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"20/04/2006 0:00:00"
"380";"UR000677";"Mendilatz";"Restaurantes";"Sin definir";"Larraun 0 S/N";"ORBAIZETA";"ORBAIZETA";"Pirineos";"Casera o regional";"15/05/1994 0:00:00"
"381";"UR001094";"Merindad de Olite";"Restaurantes";"Segunda/2 Tenedores";"Rúa de la Judería 11";"OLITE";"OLITE / ERRIBERRI";"Zona Media";"Casera o regional, De tapas y raciones, Innovadora";"24/07/2015 0:00:00"
"382";"UR000939";"Mesón de Gargantúa";"Restaurantes";"Sin definir";"Santa María 6";"LOS ARCOS";"LOS ARCOS";"Zona Media";"Casera o regional";"12/03/2008 0:00:00"
"383";"ur000483";"Mesón del Barro";"Restaurantes";"Sin definir";"Acella 2";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Asador";"09/03/1988 0:00:00"
"384";"UR000287";"Mesón Egüés";"Restaurantes";"Sin definir";"San Martín 10";"EGÜÉS";"VALLE DE EGÜÉS / EGUESIBAR";"Cuenca de Pamplona";"Asador";"17/03/1982 0:00:00"
"385";"ur000405";"Mesón El Burladero";"Restaurantes";"Sin definir";"Arrieta, 9 bis 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"18/04/2001 0:00:00"
"386";"UR000289";"Mesón Julián";"Restaurantes";"Sin definir";"La Merced 9";"TUDELA";"TUDELA";"La Ribera";;"16/10/1981 0:00:00"
"387";"UR000898";"Mesón La Cuchara";"Restaurantes";"Sin definir";"Remiro de Goñi 26";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"30/06/2006 0:00:00"
"388";"ur000643";"Mesón Las Torres I";"Restaurantes";"Sin definir";"Santa María 0 S/N";"UJUÉ";"UJUÉ / UXUE";"Zona Media";"Casera o regional";"23/03/1994 0:00:00"
"389";"ur000781";"Mesón Las Torres II";"Restaurantes";"Sin definir";"Santa María 0 S/N";"UJUÉ";"UJUÉ / UXUE";"Zona Media";"Casera o regional";"05/12/1996 0:00:00"
"390";"ur000104";"Mesón Olave";"Restaurantes";"Sin definir";"Irún, Km. 11 0 ";"OLAVE";"OLÁIBAR";"Cuenca de Pamplona";;"18/11/1981 0:00:00"
"391";"ur000240";"Mesón Olaz";"Restaurantes";"Sin definir";"Las Fuentes 19";"OLAZ";"VALLE DE EGÜÉS / EGUESIBAR";"Cuenca de Pamplona";"Casera o regional";"21/07/1981 0:00:00"
"392";"UR000370";"Mesón Pirineo";"Restaurantes";;"Estafeta 41";"PAMPLONA";"PAMPLONA / IRUÑA";"Pirineos";"Casera o regional";"19/03/1984 0:00:00"
"393";"UR000649";"Mikelen Borda";"Restaurantes";"Segunda/2 Tenedores";"Dancharinea 0";"URDAZUBI/URDAX";"URDAZUBI / URDAX";"Pirineos";"Casera o regional";"07/03/1991 0:00:00"
"394";"UR001008";"Mister Wok";"Restaurantes";"Tercera/1 tenedor";"Río Arga 18 bajo";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"18/05/2011 0:00:00"
"395";"UR001080";"Molino de Caparroso";"Restaurantes";"Segunda/2 Tenedores";"Caparroso, s/n 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"10/02/2015 0:00:00"
"396";"UR001084";"Mónaco";"Restaurantes";"Segunda/2 Tenedores";"Del Coso 1";"LOS ARCOS";"LOS ARCOS";"Zona Media";;"15/05/2015 0:00:00"
"397";"ur000193";"Montón";"Restaurantes";"Sin definir";"Jarauta 29";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"16/07/1982 0:00:00"
"398";"ur000713";"Motxale";"Restaurantes";"Sin definir";"Río 8";"UHARTE-ARAKIL";"UHARTE ARAKIL";"Pirineos";"Casera o regional";"14/03/1995 0:00:00"
"399";"UR001111";"Murkuzuria";"Restaurantes";"Tercera/1 tenedor";"Santa María s/n 0";"ESPARZA DE SALAZAR";"ESPARZA DE SALAZAR / ESPARTZA ZARAITZU";"Pirineos";"De tapas y raciones";"25/11/2015 0:00:00"
"400";"UR000974";"Ñam";"Restaurantes";"Sin definir";"Paseo Sarasate 28";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"20/04/2009 0:00:00"
"401";"UR000385";"Navarra";"Restaurantes";"Segunda/2 Tenedores";"Gustavo de Maeztu 16";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"07/05/1984 0:00:00"
"402";"UR001105";"Nh Iruña Park";"Restaurantes";"Tercera/1 tenedor";"Arcadio Mª Larraona 1";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, Rápida";"05/11/2015 0:00:00"
"403";"UR000970";"Novoart";"Restaurantes";"Segunda/2 Tenedores";"Maria Moliner 2";"BERRIOPLANO";"BERRIOPLANO / BERRIOBEITI";"Cuenca de Pamplona";"Casera o regional, Innovadora";"06/03/2009 0:00:00"
"404";"UR001153";"Ohiana";"Restaurantes";"Segunda/2 Tenedores";"Dantxarinea 5";"URDAZUBI/URDAX";"URDAZUBI / URDAX";"Pirineos";"Casera o regional, De tapas y raciones, Rápida";"04/10/2023 0:00:00"
"405";"ur000544";"Olaberri";"Restaurantes";"Sin definir";"San Antón, Casa Olaberri 1 ";"LESAKA";"LESAKA";"Pirineos";"Casera o regional";"07/03/1990 0:00:00"
"406";"UR000619";"Olari";"Restaurantes";"Tercera/1 tenedor";"Pedro Mª Hualde 0 S/N";"IRURITA";"BAZTAN";"Pirineos";"Casera o regional";"07/03/1991 0:00:00"
"407";"UR000511";"Olazti";"Restaurantes";"Sin definir";"Mayor 51";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"04/07/1988 0:00:00"
"408";"UR000895";"Ordoki";"Restaurantes";"Segunda/2 Tenedores";"Polígono Ordoki 0 S/N";"ARIZKUN";"BAZTAN";"Pirineos";"Asador";"26/05/2006 0:00:00"
"409";"UR000852";"Orgi";"Restaurantes";"Segunda/2 Tenedores";"San Simón 1";"LIZASO";"ULTZAMA";"Pirineos";"Casera o regional";"13/06/2000 0:00:00"
"410";"ur000840";"Orhi";"Restaurantes";"Sin definir";"Polígono Plazaola, nave 2-3 0 ";"BERRIOPLANO";"BERRIOPLANO / BERRIOBEITI";"Cuenca de Pamplona";"Casera o regional";"06/03/2000 0:00:00"
"411";"UR001076";"Orialde";"Restaurantes";"Tercera/1 tenedor";"Urrutia 6";"OCHAGAVÍA";"OCHAGAVÍA / OTSAGABIA";"Pirineos";;"02/02/2015 0:00:00"
"412";"UR001087";"Orrega/Roncesvalles";"Restaurantes";"Segunda/2 Tenedores";"Única 0";"ORREAGA/RONCESVALLES";"ORREGA / RONCESVALLES";"Pirineos";"Casera o regional";"28/05/2015 0:00:00"
"413";"UR001116";"Osate";"Restaurantes";"Tercera/1 tenedor";"Salazar 0 s/n";"OCHAGAVÍA";"OCHAGAVÍA / OTSAGABIA";"Pirineos";"Casera o regional, De tapas y raciones, Rápida, Vegetariana";"22/07/2016 0:00:00"
"414";"ur000893";"Oskia";"Restaurantes";"Sin definir";"de Navarra 0";"ERROTZ";"ARAKIL";"Pirineos";"Casera o regional";"26/04/2006 0:00:00"
"415";"UR000474";"Ospel";"Restaurantes";"Sin definir";"Roncesvalles 0 S/N";"OLLOKI";"ESTERIBAR";"Pirineos";"Casera o regional";"17/02/1990 0:00:00"
"416";"ur000755";"Ostargi";"Restaurantes";"Sin definir";"de Sarriguren, 2-4 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"12/03/1996 0:00:00"
"417";"ur000310";"Ostatua Posada";"Restaurantes";"Sin definir";"Mayor 1";"ARRUAZU";"ARRUAZU";"Pirineos";"Casera o regional";"21/02/2005 0:00:00"
"418";"UR001152";"Otxondo";"Restaurantes";"Segunda/2 Tenedores";"Barrio Landibar 5";"URDAZUBI/URDAX";"URDAZUBI / URDAX";"Pirineos";"Casera o regional, De tapas y raciones";"04/10/2023 0:00:00"
"419";"UR000863";"Pabellón Deportivo de Estella-Lizarra";"Restaurantes";"Sin definir";"La Merindad 2";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"06/09/2000 0:00:00"
"420";"UR000336";"Pablo-Enea";"Restaurantes";"Sin definir";"Mayor 5";"ARANTZA";"ARANTZA";"Pirineos";"Casera o regional";"08/08/1982 0:00:00"
"421";"UR000833";"Palacio Castillo de Gorraiz";"Restaurantes";"Primera/3 tenedores";"de Egües 78";"GORRÁIZ";"VALLE DE EGÜÉS / EGUESIBAR";"Cuenca de Pamplona";"Casera o regional";"08/06/1999 0:00:00"
"422";"ur000452";"Palacio Chino";"Restaurantes";"Sin definir";"Estafeta, 73-1º 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"08/03/1987 0:00:00"
"423";"UR001063";"Palacio Yrisarri";"Restaurantes";"Segunda/2 Tenedores";"Irisarri 2";"IGANTZI";"IGANTZI";"Pirineos";"Casera o regional, Innovadora";"07/11/2014 0:00:00"
"424";"UR000593";"Pamplona El Toro";"Restaurantes";"Primera/3 tenedores";"Guipuzcoa, km. 5 0 ";"BERRIOPLANO";"BERRIOPLANO / BERRIOBEITI";"Cuenca de Pamplona";"De autor";"14/02/1990 0:00:00"
"425";"UR001102";"Parador de Turismo de Olite";"Restaurantes";"Primera/3 tenedores";"Teobaldos 2";"OLITE";"OLITE / ERRIBERRI";"Zona Media";"Casera o regional";"12/08/2015 0:00:00"
"426";"UR000585";"Pardix Ostatu";"Restaurantes";"Sin definir";"Fº Anchorena 0 S/N";"ORBAIZETA";"ORBAIZETA";"Pirineos";"Casera o regional";"28/02/1990 0:00:00"
"427";"UR000451";"Payvi-2";"Restaurantes";"Sin definir";"Pío XII, 30 trasera 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"08/02/1989 0:00:00"
"428";"UR000727";"Pekin";"Restaurantes";"Sin definir";"Juan Antonio Fernandez 53";"TUDELA";"TUDELA";"La Ribera";"Internacional";"25/04/1995 0:00:00"
"429";"UR001124";"Peñalén";"Restaurantes";"Segunda/2 Tenedores";"Variante Peralta 0 Km. 23,5";"PERALTA";"PERALTA / AZKOIEN";"La Ribera";"Asador, Casera o regional";"12/04/2017 0:00:00"
"430";"UR001142";"Perrillas";"Restaurantes";"Tercera/1 tenedor";"Tafalla 2";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Casera o regional, Innovadora";"08/04/2022 0:00:00"
"431";"UR001142";"Perrillas";"Restaurantes";"Tercera/1 tenedor";"Tafalla 2";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Casera o regional, Innovadora";"08/04/2022 0:00:00"
"432";"UR001142";"Perrillas";"Restaurantes";"En tramitación";"Tafalla 2";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Casera o regional, Innovadora";"08/04/2022 0:00:00"
"433";"UR001142";"Perrillas";"Restaurantes";"En tramitación";"Tafalla 2";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Casera o regional, Innovadora";"08/04/2022 0:00:00"
"434";"UR001142";"Perrillas";"Restaurantes";"Tercera/1 tenedor";"Tafalla 2";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Casera o regional, Innovadora";"08/04/2022 0:00:00"
"435";"UR001142";"Perrillas";"Restaurantes";"Tercera/1 tenedor";"Tafalla 2";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Casera o regional, Innovadora";"08/04/2022 0:00:00"
"436";"UR001142";"Perrillas";"Restaurantes";"En tramitación";"Tafalla 2";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Casera o regional, Innovadora";"08/04/2022 0:00:00"
"437";"UR001142";"Perrillas";"Restaurantes";"En tramitación";"Tafalla 2";"AIBAR";"AIBAR / OIBAR";"Zona Media";"Casera o regional, Innovadora";"08/04/2022 0:00:00"
"438";"UR000928";"Perutxena Taberna";"Restaurantes";"Sin definir";"San Nicolás 24";"LARRASOAÑA";"ESTERIBAR";"Pirineos";"Casera o regional";"15/10/2007 0:00:00"
"439";"UR000126";"Pichorradicas Casa Ignacio";"Restaurantes";"Segunda/2 Tenedores";"Cortadores 11";"TUDELA";"TUDELA";"La Ribera";"Casera o regional";"27/05/2004 0:00:00"
"440";"UR001146";"Piscinas Municipales de Mélida";"Restaurantes";"Tercera/1 tenedor";"Nueva 54";"MÉLIDA";"MÉLIDA";"La Ribera";;"30/06/2022 0:00:00"
"441";"ur000500";"Pizzeria La Bocatta";"Restaurantes";"Sin definir";"Bayona 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Internacional";"26/02/1989 0:00:00"
"442";"ur000515";"Posada de Alcoz";"Restaurantes";"Sin definir";"San Esteban 15";"ALKOTZ";"ULTZAMA";"Pirineos";"Casera o regional";"09/11/1988 0:00:00"
"443";"UR001007";"Posada de Arraitz-Ostatu Berri";"Restaurantes";"Sin definir";"La Asunción 12";"ARRAITZ-ORKIN";"ULTZAMA";"Pirineos";"Casera o regional";"09/05/2011 0:00:00"
"444";"UR000740";"Posada de Auza";"Restaurantes";"Sin definir";"San Martín 20";"AUZA";"ULTZAMA";"Pirineos";"Casera o regional";"28/12/1995 0:00:00"
"445";"UR000825";"Posada de Egüés";"Restaurantes";"Tercera/1 tenedor";"Polígono Industrial 0 S/N";"EGÜÉS";"VALLE DE EGÜÉS / EGUESIBAR";"Cuenca de Pamplona";"Casera o regional";"17/09/1998 0:00:00"
"446";"UR121038";"Posada de Gerendiain";"Restaurantes";"Sin definir";"San Lorenzo 0";"GERENDIAIN";"ULTZAMA";"Pirineos";"Casera o regional";"08/03/2013 0:00:00"
"447";"UR001113";"Posada de Mugiro";"Restaurantes";"Tercera/1 tenedor";"San Francisco 2";"MUGIRO";"LARRAUN";"Pirineos";"Casera o regional";"20/04/2016 0:00:00"
"448";"UR001123";"Posada Elbete";"Restaurantes";"Tercera/1 tenedor";"Mayor 1 1º";"ELBETE";"BAZTAN";"Pirineos";"Casera o regional";"11/02/2017 0:00:00"
"449";"ur000739";"Quinto Real";"Restaurantes";"Sin definir";"Villava 14";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"26/12/1995 0:00:00"
"450";"UR001026";"Qwerty";"Restaurantes";"Segunda/2 Tenedores";"Mercaderes 18";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"De autor";"17/05/2012 0:00:00"
"451";"ur000687";"Ramona";"Restaurantes";"Sin definir";"La Ribera 19";"LODOSA";"LODOSA";"La Ribera";"Casera o regional";"21/09/1994 0:00:00"
"452";"ur000433";"Rancho Grande";"Restaurantes";"Sin definir";"Irún 36";"ARRE";"EZCABARTE";"Cuenca de Pamplona";"Casera o regional";"17/10/1985 0:00:00"
"453";"UR001151";"Remigio";"Restaurantes";"Lujo/ 4 Tenedores";"Gaztambide 4";"TUDELA";"TUDELA";"La Ribera";"Asador, Casera o regional";"28/09/2023 0:00:00"
"454";"UR000468";"Restaurante 33";"Restaurantes";"Lujo/ 4 Tenedores";"Pablo Sarasate 7";"TUDELA";"TUDELA";"La Ribera";"De autor";"21/01/1988 0:00:00"
"455";"UR000688";"Restaurante Cafetería Obas";"Restaurantes";"Segunda/2 Tenedores";"Irunlarrea, 6-8 0 ";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional";"27/03/1994 0:00:00"
"456";"UR000785";"Restaurante Ekai";"Restaurantes";"Segunda/2 Tenedores";"Aoiz 0 S/N";"EKAI DE LÓNGUIDA";"LÓNGUIDA / LONGIDA";"Pirineos";"Casera o regional";"15/05/1996 0:00:00"
"457";"UR000696";"Rex Casa de Comidas";"Restaurantes";"Sin definir";"Libertad 0 S/N";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";"Casera o regional, De tapas y raciones, Innovadora";"21/03/1994 0:00:00"
"458";"ur000557";"Ricardo";"Restaurantes";"Sin definir";"del Perdón 21";"ASTRÁIN";"CIZUR";"Cuenca de Pamplona";"Casera o regional";"13/07/1989 0:00:00"
"459";"UR000278";"Richard";"Restaurantes";"Segunda/2 Tenedores";"Yerri 10";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"22/07/1981 0:00:00"
"460";"UR000647";"Rios";"Restaurantes";"Primera/3 tenedores";"Celso Muerza 18";"SAN ADRIÁN";"SAN ADRIÁN";"La Ribera";"Casera o regional";"18/03/1992 0:00:00"
"461";"UR000363";"Rochas";"Restaurantes";"Sin definir";"Principe de Viana 16";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA";"Zona Media";"Casera o regional";"19/03/1984 0:00:00"
"462";"UR000216";"Rodero";"Restaurantes";"Sin definir";"Arrieta 3";"PAMPLONA";"PAMPLONA / IRUÑA";"Cuenca de Pamplona";;"22/07/1981 0:00:00"
"463";"ur000711";"Roma";"Restaurantes";"Sin definir";"Barón de la Torre 24";"CINTRUÉNIGO";"CINTRUÉNIGO";"La Ribera";"Asador";"13/03/1995 0:00:00"
"464";"ur000811";"Roman";"Restaurantes";"Sin definir";"San Martín 11";"IRURTZUN";"IRURTZUN";"Pirineos";"Casera o regional";"10/09/1997 0:00:00"
"465";"UR001047";"Romanzado";"Restaurantes";"Tercera/1 tenedor";"Carretera de Domeño 21";"DOMEÑO";"ROMANZADO / ERROMANTZATUA";"Pirineos";"Casera o regional";"21/08/2013 0:00:00"
"466";"ur000878";"Royal Menú";"Restaurantes";"Sin definir";"Polígono Industiral La Albergu 0";"VIANA";"VIANA";"Zona Media";"Casera o regional";"07/12/2005 0:00:00"
