"id";"COD. INSCRIPCION";"NOMBRE";"MODALIDAD";"CATEGORIA";"DIRECCION";"LOCALIDAD";"MUNICIPIO";"ZONA";"PLAZAS";"FECHA DE INSCRIPCION"
"1443";"UPE00662";"La Basque";"Pensión";"P**";"Irañeta 1 ";"ETXALAR";"ETXALAR ";"Pirineos";"11";"12/06/1996 0:00:00"
"1444";"UAB00050";"La Bizkaia";"Albergue turístico";"1ª Categoria";"San Pedro 4 ";"AIBAR";"AIBAR / OIBAR ";"Zona Media";"52";"18/08/2010 0:00:00"
"1445";"UCR01176";"La borda del Tío Nicolás";"Casa rural vivienda";"CRV 3 Estrellas";"Santa María 60 ";"ARIBE";"ARIBE ";"Pirineos";"6";"05/05/2021 0:00:00"
"1446";"UCR00595";"La Cañada";"Casa rural vivienda";"CRV 2 Estrellas";"La Paz 2 ";"MURILLO EL FRUTO";"MURILLO EL FRUTO  ";"La Ribera";"8";"02/04/2003 0:00:00"
"1447";"UVTR1131";"La Casa de Epi";"Apartamento Turístico";"Primera/3 Llaves";"Santa Lucía 36 ";"ZIORDIA";"ZIORDIA ";"Pirineos";"8";"06/05/2021 0:00:00"
"1448";"UVT01393";"La casa de Katty";"Vivienda Turística";"Segunda/2 Llaves";"Dr. Jiménez Borobia 14 ";"CINTRUÉNIGO";"CINTRUÉNIGO ";"La Ribera";"6";"09/03/2023 0:00:00"
"1449";"UAT01046";"La Casa de la Abuela";"Apartamento Turístico";"Primera/3 Llaves";"Doña Leonor 4 ";"OLITE";"OLITE / ERRIBERRI ";"Zona Media";"4";"29/06/2020 0:00:00"
"1450";"UVT01118";"La casa de los 1000 años";"Apartamento Turístico";"Tercera/1 Llave";"San Martín 5 ";"ESTELLA-LIZARRA";"ESTELLA-LIZARRA ";"Zona Media";"6";"02/03/2021 0:00:00"
"1451";"UVT00789";"La Casa de Marta";"Vivienda Turística";"Segunda/2 Llaves";"Tejería 12 C";"MURCHANTE";"MURCHANTE ";"La Ribera";"6";"23/05/2018 0:00:00"
"1452";"UHS00762";"La Casa de mi Abuela";"Hostal";"HsG";"Primicia 35 ";"CINTRUÉNIGO";"CINTRUÉNIGO ";"La Ribera";"10";"01/09/2003 0:00:00"
"1453";"UAT00935";"La Casa de Tudela";"Apartamento Turístico";"Segunda/2 Llaves";"Pablo Sarasate 8 7º";"TUDELA";"TUDELA  ";"La Ribera";"4";"14/06/2019 0:00:00"
"1454";"UAT00822";"La Casa del Abuelo";"Apartamento Turístico";"Primera/3 Llaves";"Carnicerías 9 1ºIzqd";"TUDELA";"TUDELA  ";"La Ribera";"2";"20/07/2018 0:00:00"
"1455";"UATR0844";"La Casa del Gatico";"Apartamento Turístico Rural";"Tercera/1 Llave";"San Juan  28 Bajo ";"LUMBIER";"LUMBIER ";"Pirineos";"0";"02/10/2018 0:00:00"
"1456";"UPE00937";"La Casa del Hilario";"Pensión";"P*";"Dos de agosto 1 ";"MILAGRO";"MILAGRO ";"La Ribera";"12";"03/09/2018 0:00:00"
"1457";"UVT01304";"La Casa del Médico";"Apartamento Turístico";"Primera/3 Llaves";"Albillo 8 ";"TUDELA";"TUDELA  ";"La Ribera";"4";"20/06/2022 0:00:00"
"1458";"UVT00398";"La Casa del Músico";"Vivienda Turística";"Segunda/2 Llaves";"Maestro Inocencio Garijo 1 ";"MILAGRO";"MILAGRO ";"La Ribera";"11";"22/04/2015 0:00:00"
"1459";"UAT00573";"La Casa Gris";"Apartamento Turístico";"Primera/3 Llaves";"Carnicerías  14 1º";"TUDELA";"TUDELA  ";"La Ribera";"2";"31/05/2017 0:00:00"
"1460";"UAT00847";"La Casa Gris 2";"Apartamento Turístico";"Segunda/2 Llaves";"Carnicerias  14 2º A";"TUDELA";"TUDELA  ";"La Ribera";"5";"25/09/2018 0:00:00"
"1461";"UAT00888";"La Casa Gris 3";"Apartamento Turístico";"Primera/3 Llaves";"Carnicerías 14 1ºB";"TUDELA";"TUDELA  ";"La Ribera";"2";"14/03/2019 0:00:00"
"1462";"UAB00078";"La Casa Mágica";"Albergue turístico";"del Camino de Santiago";"Rebote 5 ";"VILLATUERTA";"VILLATUERTA ";"Zona Media";"21";"30/05/2014 0:00:00"
"1463";"UAT00325";"La Casica Bardenera";"Apartamento Turístico";"Tercera/1 Llave";"De la Ribera 185 ";"VALTIERRA";"VALTIERRA ";"La Ribera";"6";"03/10/2014 0:00:00"
